,Positive distance,Negative distance
1729,1.9353446,20.880638
1730,4.4096637,26.095194
1731,6.1959157,15.899873
1732,5.571185,9.01992
1733,2.568883,22.50938
1734,4.807652,11.356596
1735,4.153531,18.757706
1736,3.4717464,14.195721
1737,6.1968803,23.54312
1738,5.9598417,16.550816
1739,6.805566,17.95441
1740,5.3964677,18.348408
1741,5.841925,12.319407
1742,2.6270797,10.986603
1743,2.4311724,23.29324
1744,3.419883,12.401514
1745,5.9006634,20.28453
1746,3.2850666,26.524372
1747,2.853548,14.414433
1748,2.634324,25.062698
1749,8.103958,24.40369
1750,5.285428,13.850283
1751,5.9488344,30.222843
1752,5.0481734,9.597391
1753,2.9151945,12.92643
1754,3.4412723,14.410925
1755,8.877347,21.342403
1756,5.9786663,20.670132
1757,10.703862,26.601374
1758,3.4513385,21.795427
1759,6.960448,32.215294
1760,2.812964,24.000366
1761,5.6028824,23.950394
1762,5.636921,25.331497
1763,8.33433,24.178202
1764,2.7728596,17.737064
1765,3.0559528,23.82951
1766,5.087019,19.762646
1767,2.5603127,23.34436
1768,4.808133,21.317047
1769,5.1466956,7.856254
1770,4.7357535,21.838749
1771,4.9240017,14.978241
1772,4.1278486,15.718813
1773,4.2645802,16.689613
1774,7.1114798,22.810768
1775,2.372899,25.37941
1776,4.7698717,10.751225
1777,6.6009884,29.293163
1778,7.959819,22.234928
1779,6.163251,12.536028
1780,7.520809,22.2911
1781,1.0566436,17.81107
1782,7.551938,19.41676
1783,6.994588,13.948534
1784,5.875025,23.966715
1785,7.0956964,21.327396
1786,4.1313267,21.676327
1787,6.176736,25.90627
1788,6.010902,19.270906
1789,5.538364,17.530201
1790,5.6348886,29.425484
1791,2.1942582,14.0229435
1792,6.5132017,25.413488
1793,4.2691793,14.880138
1794,3.7263803,30.184757
1795,7.068485,18.549122
1796,6.927537,14.249625
1797,4.6634846,21.226185
1798,3.598949,17.360748
1799,3.6588974,10.081987
1800,4.0648284,15.164989
1801,5.462623,19.574387
1802,3.683785,29.23632
1803,4.6111417,34.16091
1804,7.4525394,18.383266
1805,8.6950245,20.57343
1806,4.2682724,13.157398
1807,4.101074,16.429974
1808,7.9609003,13.198477
1809,2.248106,13.898821
1810,5.1431932,21.287443
1811,4.1070824,19.546434
1812,7.232014,19.946894
1813,5.344542,28.004404
1814,1.214937,16.18756
1815,6.509218,23.353405
1816,8.8906555,16.239494
1817,3.8835282,20.741234
1818,9.300731,25.39298
1819,5.2752132,24.572378
1820,2.3636332,15.937558
1821,4.38047,23.339277
1822,5.5639606,25.990437
1823,5.0573645,24.322495
1824,11.913389,24.78384
1825,7.941306,21.92477
1826,7.435522,16.241964
1827,5.751282,13.83366
1828,5.2334843,12.795262
1829,4.757947,15.845689
1830,4.5311184,20.427643
1831,3.908774,20.079224
1832,4.6184444,23.14886
1833,3.0113418,18.785654
1834,6.6866655,12.810093
1835,4.8902316,26.59165
1836,2.8005657,25.549463
1837,6.9125905,26.09341
1838,6.9056587,28.779007
1839,5.073474,13.393304
1840,7.2063456,32.006012
1841,8.218332,25.652615
1842,4.8465643,12.974006
1843,4.7065887,16.138638
1844,5.920893,19.629951
1845,3.7846174,27.52732
